 ,SNOMED Name,SNOMED ID,value,
,"""Royal College of Physicians asthma assessment""",302331000000106,no,
,"""Asthma monitoring""",275908000,no,
,,,,
,,,,
Systolic Blood pressure,"""Systolic arterial pressure""",72313002,yes,
,,,,
,,,,
Diastolic Blood pressure,"""Diastolic arterial pressure""",1091811000000102,yes,
,,,,
,,,,
Heart Rate,"""Heart rate""",364075005,yes,
,"""Pulse rate""",78564009,yes,
,,,,
BMI,"""Body mass index""",60621009,yes,
,,,,
,,,,
Oxygen level,"""SpO2 - oxygen saturation at periphery""",431314004,yes,
,"""Haemoglobin saturation with oxygen""",103228002,yes,
,"""Blood oxygen saturation (calculated)""",1017311000000104,yes,
,,,,
,,,,
,,,,
Red flag on wearables metrics,"""Raised blood pressure""",24184005,no,
