code_id,code_type,category,term,combined_score,combined_rank,code_tier,category_model_tier
1002912,rxnorm,Medication - Antihypertensives,hydrochlorothiazide / triamterene Oral Capsule,0.069757491020561,1043.0,LOW,MEDIUM
1006362,rxnorm,Medication - Antihypertensives,hydrochlorothiazide / lisinopril Oral Tablet,0.0680356887150754,1047.0,LOW,MEDIUM
954458,rxnorm,Medication - Other Chronic,allopurinol 300 MG Oral Tablet,0.0680088224256478,1048.0,LOW,LOW
231343,snomed,Comorbidity - GI / GU,Esophageal reflux finding,0.0657253084822446,1052.0,LOW,MEDIUM
1034431,rxnorm,Medication - Antihypertensives,labetalol,0.0655565638703392,1053.0,LOW,MEDIUM
809844,loinc,Comorbidity - Skin / Dermatology,Turgor [Interpretation] of Skin,0.0649337291880199,1057.0,LOW,MEDIUM
67481,cpt,Screening - Mammography,Mammography,0.0648313524634702,1059.0,LOW,STRONG
252182,snomed,Symptoms - General,Malaise and fatigue,0.0647792492858803,1060.0,LOW,MEDIUM
447796,snomed,History - Infectious Disease,Exposure to tuberculosis,0.0644735714004934,1063.0,LOW,ZERO
880495,rxnorm,Medication - Cardiac,warfarin,0.0643838883016066,1064.0,LOW,MEDIUM
881357,rxnorm,Medication - Supplements / Vitamins,chondroitin sulfates / glucosamine Oral Product,0.0637831742713861,1067.0,LOW,MEDIUM
953051,rxnorm,Medication - Statins (Lipid Lowering),lovastatin 20 MG Oral Tablet,0.0634200490818093,1068.0,LOW,MEDIUM
1032689,rxnorm,Medication - Statins (Lipid Lowering),atorvastatin 10 MG Oral Tablet,0.0625080775590426,1069.0,LOW,MEDIUM
956660,rxnorm,Medication - Antibiotics,levofloxacin 500 MG Oral Tablet,0.0613786189989003,1074.0,LOW,MEDIUM
819135,loinc,Comorbidity - Mental Health,Do you feel happy most of the time [GDS],0.0612876148942055,1076.0,LOW,STRONG
1052099,rxnorm,Medication - Antihypertensives,metoprolol tartrate 100 MG Oral Tablet,0.0609809214089958,1080.0,LOW,MEDIUM
4058162,rxnorm,Medication - Allergy / Respiratory,fluticasone propionate Nasal Product,0.0599096539582061,1088.0,LOW,MEDIUM
5450007,truveta,Lifestyle - Social Determinants of Health,Do you feel that you are treated well by your partner/spouse/family member?,0.0597917117956708,1089.0,LOW,MEDIUM
1052102,rxnorm,Medication - Antihypertensives,metoprolol tartrate 50 MG Oral Tablet,0.0597143021347498,1090.0,LOW,MEDIUM
280112,snomed,Comorbidity - Respiratory / ENT,Pharynx problem,0.059200348403023,1093.0,LOW,MEDIUM
843957,loinc,Lifestyle - Tobacco Use,Date quit tobacco smoking,0.0585804164790572,1097.0,LOW,MEDIUM
354690,snomed,Symptoms - General,Unexplained weight loss,0.0582992436752937,1099.0,LOW,MEDIUM
860990,loinc,Symptoms - Pain,"Overall, how bothersome has your back pain been in the last 2 weeks [STarT Back]",0.0581341192205487,1100.0,LOW,MEDIUM
860984,loinc,Symptoms - Pain,I have only walked short distances because of my back pain in the last 2 weeks [STarT Back],0.0581341192205487,1101.0,LOW,MEDIUM
1091081,rxnorm,Medication - Supplements / Vitamins,Multivitamin preparation,0.0579978553361253,1102.0,LOW,MEDIUM
1051854,rxnorm,Medication - Antihypertensives,metoprolol succinate 50 MG Extended Release Oral Tablet,0.0571333767162759,1104.0,LOW,MEDIUM
986403,rxnorm,Medication - Antihypertensives,furosemide 40 MG Oral Tablet,0.0568233133163322,1110.0,LOW,MEDIUM
1116488,rxnorm,Medication - Respiratory (Chronic),Albuterol Inhalant Solution,0.0565575405168384,1111.0,LOW,MEDIUM
806841,loinc,Symptoms - Pain,Pain exacerbating factors - Reported,0.0563913677526093,1114.0,LOW,MEDIUM
954357,rxnorm,Medication - Antihypertensives,potassium chloride 20 MEQ Extended Release Oral Tablet,0.0558721139320905,1120.0,LOW,MEDIUM
954457,rxnorm,Medication - Other Chronic,allopurinol 100 MG Oral Tablet,0.0557358851673676,1122.0,LOW,LOW
537973,icd10cm,Comorbidity - Other,"Soft tissue disorder, unspecified",0.0555046318055872,1125.0,LOW,ZERO
315574,snomed,Medication - Antibiotics,Sulfonamide antibacterial,0.0544555264040573,1129.0,LOW,MEDIUM
511367,snomed,Comorbidity - GI / GU,Diverticular disease of colon,0.0544124590241677,1130.0,LOW,MEDIUM
845809,loinc,Lifestyle - Alcohol Use,How often have you had four or more drinks in one day during the past year [Reported],0.0541754481996176,1135.0,LOW,MEDIUM
338313,snomed,Symptoms - Pain,Pain level,0.0539428065125644,1139.0,LOW,MEDIUM
773718,loinc,Lab - Coagulation,aPTT in Blood by Coagulation assay,0.0538392667648177,1140.0,LOW,MEDIUM
984626,rxnorm,Medication - Antibiotics,azithromycin 250 MG Oral Tablet,0.0533790341045955,1147.0,LOW,MEDIUM
998587,rxnorm,Medication - Thyroid,levothyroxine Oral Tablet [Synthroid],0.052812027660247,1153.0,LOW,MEDIUM
345410,snomed,History - Hereditary Risk,BRCA1 gene mutation detected,0.0527933724116299,1154.0,LOW,ZERO
1007636,rxnorm,Medication - Other Chronic,methylprednisolone Injectable Suspension,0.0518830002150897,1166.0,LOW,LOW
819148,loinc,Comorbidity - Mental Health,Do you feel that your situation is hopeless [GDS],0.0514926490411438,1171.0,LOW,STRONG
372652,snomed,Comorbidity - Respiratory / ENT,Measurement of expired nitric oxide,0.0514043094621533,1174.0,LOW,MEDIUM
814026,loinc,Lab - Lipid Panel,Cholesterol non HDL [Mass/volume] in Serum or Plasma,0.0507631140450162,1179.0,LOW,STRONG
772520,loinc,Lab - Lipid Panel,Cholesterol in HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma,0.050292705764217,1181.0,LOW,STRONG
1009410,rxnorm,Medication - Cardiac,nitroglycerin Sublingual Tablet,0.0502755988848029,1183.0,LOW,MEDIUM
25813,snomed,Comorbidity - Benign Breast,Fibrocystic disease of breast,0.0500801856754441,1185.0,LOW,ZERO
333677,snomed,Comorbidity - Other,Hemangioma,0.0500169849297317,1188.0,LOW,ZERO
850833,loinc,Lab - Bone Density / DEXA,DXA Radius and Ulna - left [T-score] Bone density,0.0491953911571852,1196.0,LOW,ZERO
817046,loinc,Lab - Coagulation,INR in Capillary blood by Coagulation assay,0.0473185327189832,1222.0,LOW,MEDIUM
853098,loinc,Post-Acute Markers,Transferring,0.047137258684322,1224.0,LOW,MEDIUM
315481,snomed,Medication - Antibiotics,Erythromycin,0.0469553945564412,1234.0,LOW,MEDIUM
613079,icd10cm,Lifestyle - Tobacco Use,Personal history of nicotine dependence,0.0460958822010802,1241.0,LOW,MEDIUM
269564,snomed,Comorbidity - GI / GU,Vaginal problem,0.0460243592781905,1242.0,LOW,MEDIUM
1064866,rxnorm,Medication - Allergy / Respiratory,pseudoephedrine hydrochloride 30 MG Oral Tablet,0.0448206061484481,1256.0,LOW,MEDIUM
207699,snomed,Comorbidity - Skin / Dermatology,Skin assessment,0.0442280924406057,1263.0,LOW,MEDIUM
1006349,rxnorm,Medication - Thyroid,levothyroxine Oral Tablet,0.0439303029590742,1268.0,LOW,MEDIUM
850115,loinc,Comorbidity - Respiratory / ENT,Respiratory effort,0.0436463497772313,1272.0,LOW,MEDIUM
248220,snomed,Comorbidity - GI / GU,Genitourinary symptoms,0.0433536253380484,1274.0,LOW,MEDIUM
9820,snomed,Comorbidity - Respiratory / ENT,Acute bronchitis,0.042396152439589,1280.0,LOW,MEDIUM
180910,snomed,Comorbidity - Mental Health,Anxiety state,0.0423856833366513,1281.0,LOW,STRONG
