id,name,active,notes
2831211000001109,Flixotide 250 Evohaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
284523002,Persistent cough,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
29857009,Chest pain,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
302331000000106,Royal College of Physicians asthma assessment,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
30760008,Finger clubbing,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
310520004,Expected FEV1,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
312342009,Chest infection - pnemonia due to unspecified organism,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
313222007,FEV1/FVC percent,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
313223002,Percent predicted FEV1,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
313297008,Moderate chronic obstructive pulmonary disease,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
313299006,Severe chronic obstructive pulmonary disease,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
314473008,FEV1/FVC > 70% of predicted,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
3184311000001107,Flixotide 100 Accuhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
3184911000001108,Flixotide 250 Accuhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
3215311000001107,Salamol Easi-Breathe inhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
32398004,Chest infection - unspecified bronchitis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
33594911000001100,Braltus 10microgram inhalation powder capsules,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
340921000000103,Asthma trigger - tobacco smoke,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
35908811000001103,Beclometasone 250micrograms inhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
364075005,Heart rate,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
365981007,Tobacco smoking behaviour - finding,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
366874008,Number of asthma exacerbations in past year,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
370208006,Asthma never causes daytime symptoms,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
370226009,Asthma treatment compliance satisfactory,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
390891009,COPD self-management plan given,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
391120009,MRC Breathlessness Scale: grade 1,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
391123006,MRC Breathlessness Scale: grade 2,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
391124000,MRC Breathlessness Scale: grade 3,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
391125004,MRC Breathlessness Scale: grade 4,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
39113611000001102,Salbutamol 100micrograms inhaler CFC free,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
394700004,Asthma annual review,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
394873005,Not interested in stopping smoking,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
396285007,Chest infection - unspecified bronchopneumonia,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
396484008,Supraclavicular lymph node biopsy,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
398511000001105,Flixotide 125 Evohaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
401012008,FEV1 before bronchodilation,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
401013003,FEV1 after bronchodilation,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
401135008,Health education - asthma,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
4053411000001103,Serevent 25micrograms Evohaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
406162001,Asthma management,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
407576000,FVC/Expected FVC percent,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
407602006,FEV1/FVC ratio before bronchodilator,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
414916001,Obesity,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
415261001,Referral for spirometry,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
42292311000001106,Beclometasone 100micrograms inhaler,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
42292811000001102,Carbocisteine 375mg capsules,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
427359005,Solitary nodule of lung,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
42984000,Night sweats,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
