EVENT_TYPE	CATEGORY	TERM	CODE
OBS	INFLAMMATORY	Plasma C reactive protein	999651000000107
OBS	INFLAMMATORY	Serum CRP (C reactive protein) level	1001371000000100
OBS	IPSS	IPSS - frequency	759391000006100
OBS	IPSS	IPSS - incomplete emptying	759401000006103
OBS	IPSS	IPSS - intermittency	759411000006100
OBS	IPSS	IPSS - nocturia	759421000006108
OBS	IPSS	IPSS - urgency	759441000006101
OBS	IPSS	IPSS - weak stream	759451000006104
OBS	IPSS	Total international prostate symptom score	428556002
OBS	LAB_FLAGS	Abnormal finding on evaluation procedure	442618008
OBS	LAB_FLAGS	Laboratory test result abnormal	165346000
OBS	LIVER_FUNCTION	ALT/SGPT serum level	1018251000000107
OBS	LIVER_FUNCTION	Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level abnormal	166646003
OBS	LIVER_FUNCTION	Aspartate aminotransferase level	1031101000000102
OBS	LIVER_FUNCTION	Direct (conjugated) bilirubin	1028081000000104
OBS	LIVER_FUNCTION	GGT (gamma-glutamyl transferase) level	1028091000000102
OBS	LIVER_FUNCTION	Liver function test	26958001
OBS	LIVER_FUNCTION	Liver function test	997531000000108
OBS	LIVER_FUNCTION	Liver function tests - general	1031081000000108
OBS	LIVER_FUNCTION	Plasma GGT (gamma-glutamyl transferase) level	1000851000000108
OBS	LIVER_FUNCTION	Plasma alanine aminotransferase level	1013211000000103
OBS	LIVER_FUNCTION	Plasma total bilirubin level	997561000000103
OBS	LIVER_FUNCTION	Serum bilirubin level	999691000000104
OBS	LIVER_FUNCTION	Serum total bilirubin level	997591000000109
OBS	LIVER_FUNCTION	Total bilirubin level	1026761000000106
OBS	LUTS	Acute retention of urine	236648008
OBS	LUTS	Dribbling of urine	58972000
OBS	LUTS	Dysuria	49650001
OBS	LUTS	Genitourinary disease NOS	42030000
OBS	LUTS	Genitourinary symptoms NOS	267062003
OBS	LUTS	H/O: prostatism	161555006
OBS	LUTS	Hesitancy of micturition	5972002
OBS	LUTS	LUTS - Lower urinary tract symptoms	1726491000006101
OBS	LUTS	Lower urinary tract symptoms	307541003
OBS	LUTS	Micturition frequency and polyuria	274734008
OBS	LUTS	Mild lower urinary tract symptoms	763121000000102
OBS	LUTS	Moderate lower urinary tract symptoms	763111000000108
OBS	LUTS	Nocturia	981411000006101
OBS	LUTS	Observation of frequency of urination	300471006
OBS	LUTS	Prostatism	11441004
OBS	LUTS	Retention of urine	267064002
OBS	LUTS	Severe lower urinary tract symptoms	763101000000106
OBS	LUTS	Urgent desire to urinate	75088002
OBS	LUTS	Urinary flow rate	251984009
OBS	LUTS	Urinary frequency	162116003
OBS	LUTS	Urinary symptoms	249274008
OBS	LUTS	Urological disorder	128606002
OBS	LUTS	[D]Nocturia	139394000
OBS	PAIN_PELVIC_BONE	Abdominal pain type	247358007
OBS	PAIN_PELVIC_BONE	C/O perineal pain	162148004
OBS	PAIN_PELVIC_BONE	Complaining of loin pain	272047006
OBS	PAIN_PELVIC_BONE	Complaining of low back pain	161894002
OBS	PAIN_PELVIC_BONE	Left loin pain	853721000006104
OBS	PAIN_PELVIC_BONE	Lumbar ache - renal	267067009
OBS	PAIN_PELVIC_BONE	Suprapubic tenderness	1807411000006100
OBS	PAIN_PELVIC_BONE	[D] Pelvic pain	162147009
OBS	PROSTATIC_CONDITIONS	BPH - benign prostatic hypertrophy	266569009
OBS	PROSTATIC_CONDITIONS	Benign adenoma of prostate	21173002
OBS	PROSTATIC_CONDITIONS	Prostatic disorder	30281009
OBS	PROSTATIC_CONDITIONS	Prostatitis and other inflammatory diseases of prostate	9713002
OBS	PROSTATIC_CONDITIONS	[RFC] Reason for care : Enlarged prostate	909491000006106
OBS	ALBUMIN_PROTEIN	Plasma albumin level	1013361000000105
OBS	ALBUMIN_PROTEIN	Plasma globulin level	993111000000101
OBS	ALBUMIN_PROTEIN	Plasma total protein	1005651000000101
OBS	ALBUMIN_PROTEIN	Serum albumin level	1000821000000103
OBS	ALBUMIN_PROTEIN	Serum globulin level	1001231000000108
OBS	ALBUMIN_PROTEIN	Serum total protein	1000811000000109
