TERM,MED_CODE_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
ViATIM vaccine suspension for injection 1ml pre-filled syringes (Sanofi),11235911000001105,63.000,63.000,5,5166,0.000968,5,1,28.000000,28.000,0
Forceval capsules (Alliance Pharmaceuticals Ltd),50711000001106,61.000,60.000,5,5166,0.000968,7,1.4,36.857143,28.000,28.468863518
Actilite gauze dressing 5cm x 5cm (Advancis Medical),22232211000001106,80.000,79.000,5,5166,0.000968,5,1,28.000000,28.000,0
Trimbow NEXThaler 88micrograms/dose / 5micrograms/dose / 9micrograms/dose dry powder inhaler (Chiesi Ltd),39993311000001105,78.000,78.000,5,5166,0.000968,5,1,30.000000,30.000,0
Contour Plus testing strips (Ascensia Diabetes Care UK Ltd),36854011000001100,69.000,68.000,5,5166,0.000968,8,1.6,28.000000,28.000,0
Movicol Plain oral powder 13.7g sachets (Forum Health Products Ltd),11588311000001102,70.000,70.000,5,5166,0.000968,6,1.2,22.333333,28.000,19.283844715
Dermovate 0.05% cream (GlaxoSmithKline UK Ltd),60611000001107,80.000,79.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Flaminal Forte gel dressing (Flen Health UK Ltd),10708311000001106,76.000,76.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
K-Lite bandage 10cm x 4.5m (Urgo Ltd),9598311000001106,80.000,79.000,5,5166,0.000968,5,1,28.000000,28.000,0
Cefradine 500mg capsules,41944611000001104,69.000,68.000,5,5166,0.000968,7,1.4,24.714286,28.000,8.693182904
Omeprazole 20mg gastro-resistant tablets,42356511000001103,72.500,71.500,5,5166,0.000968,8,1.6,7.000000,0.000,12.961481397
Allevyn Gentle Border dressing 7.5cm x 7.5cm (Smith & Nephew Healthcare Ltd),13088411000001102,82.500,82.000,5,5166,0.000968,8,1.6,24.500000,28.000,9.899494937
Mepilex Border dressing 7cm x 7.5cm (Molnlycke Health Care Ltd),13787011000001107,92.000,91.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
Acti-Glide compression hosiery applicator (L&R Medical UK Ltd),9760011000001107,73.000,73.000,5,5166,0.000968,5,1,28.000000,28.000,0
Tamsulosin 400microgram / Dutasteride 500microgram capsules,17181511000001105,72.000,72.000,5,5166,0.000968,6,1.2,33.333333,29.000,11.147495997
Brillant AquaFlate all silicone catheter male 12Ch DA310112 10ml balloon (Teleflex),6315111000001107,77.000,77.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
Esomeprazole 40mg gastro-resistant capsules,17631411000001100,77.000,76.000,5,5166,0.000968,5,1,43.600000,50.000,14.449913495
Softpore dressing 6cm x 7cm (Richardson Healthcare Ltd),8119511000001104,75.000,75.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Lacidipine 2mg tablets,42212811000001103,83.000,83.000,5,5166,0.000968,5,1,23.800000,28.000,21.913466179
Tioconazole 283mg/ml medicated nail lacquer,35919611000001109,68.000,67.000,5,5166,0.000968,5,1,11.200000,0.000,15.33623161
Evolve HA 0.2% eye drops preservative free (Medicom Healthcare Ltd),32567411000001106,72.500,71.500,5,5166,0.000968,6,1.2,28.000000,28.000,0
Clarithromycin 500mg modified-release tablets,36142611000001107,76.000,75.000,5,5166,0.000968,5,1,26.600000,28.000,15.962455951
Uro-Tainer Twin Suby G citric acid 3.23% catheter maintenance solution 9746609 (B.Braun Medical Ltd),7430111000001102,77.000,77.000,5,5166,0.000968,5,1,28.000000,28.000,0
Ofloxacin 200mg tablets,41953411000001103,60.000,60.000,5,5166,0.000968,5,1,22.400000,14.000,12.521980674
Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd),3249511000001109,63.000,63.000,5,5166,0.000968,5,1,11.200000,0.000,15.33623161
Corsodyl 0.2% mouthwash aniseed (Haleon UK Trading Ltd),3032011000001101,62.000,62.000,5,5166,0.000968,5,1,16.800000,28.000,15.33623161
Emulsifying ointment,14608311000001101,71.000,71.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
Macrobid 100mg modified-release capsules (Advanz Pharma),517311000001102,73.000,73.000,5,5166,0.000968,7,1.4,7.714286,7.000,9.481812169
Lacidipine 4mg tablets,42212911000001108,70.000,69.000,5,5166,0.000968,9,1.8,15.666667,28.000,14.628738838
Elasticated leg bag strap 380812 (Coloplast Ltd),6474511000001103,80.000,79.000,5,5166,0.000968,5,1,28.000000,28.000,0
Dermol  Cream  500 gram bottle,,76.000,76.000,5,5166,0.000968,5,1,28.000000,28.000,0
Flixonase Nasule 400microgram/unit dose nasal drops (GlaxoSmithKline UK Ltd),4380511000001101,75.000,75.000,5,5166,0.000968,5,1,28.000000,28.000,0
Tildiem LA 200 capsules (Sanofi),261611000001107,69.000,68.000,5,5166,0.000968,5,1,16.800000,28.000,15.33623161
Dipyridamole 200mg modified-release capsules,39020811000001108,70.000,69.000,5,5166,0.000968,5,1,91.200000,30.000,154.166144143
A2A Spacer (Clement Clarke International Ltd),20599411000001109,81.000,80.000,5,5166,0.000968,5,1,28.000000,28.000,0
Dexamethasone 0.1% / Tobramycin 0.3% eye drops,42187711000001109,79.000,79.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Amitriptyline 50mg tablets,42291311000001102,64.000,64.000,5,5166,0.000968,9,1.8,24.888889,28.000,9.333333327
AeroChamber Plus Flow-Vu Anti-Static (Trudell Medical UK Ltd),34835911000001109,75.000,75.000,5,5166,0.000968,5,1,28.000000,28.000,0
Losartan 12.5mg tablets,15148111000001100,78.000,77.000,5,5166,0.000968,5,1,33.600000,28.000,12.521980674
Clotrimazole 500mg pessaries,39705811000001105,70.000,70.000,5,5166,0.000968,5,1,0.800000,1.000,0.4472135955
Azithromycin 250mg capsules,41942011000001100,69.500,68.500,5,5166,0.000968,6,1.2,18.666667,28.000,14.459137837
Trospium chloride 60mg modified-release capsules,42044211000001105,70.000,69.000,5,5166,0.000968,9,1.8,18.666667,28.000,19.798989873
Micralax Micro-enema 5ml (RPH Pharmaceuticals AB),3351711000001106,77.000,77.000,5,5166,0.000968,5,1,28.000000,28.000,0
Duloxetine 20mg gastro-resistant capsules,8013111000001100,80.000,79.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Convatec Orahesive  Powder  s106,,71.500,71.000,5,5166,0.000968,6,1.2,23.333333,28.000,11.430952148
Betnovate 0.1% scalp application (GlaxoSmithKline UK Ltd),766211000001108,50.000,49.000,5,5166,0.000968,6,1.2,9.333333,0.000,14.459137837
Cathejell Lidocain CJLL12501 (Teleflex),34061711000001102,77.000,76.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
Butec 5micrograms/hour transdermal patches (Qdem Pharmaceuticals Ltd),31279211000001103,78.000,77.000,5,5166,0.000968,5,1,28.000000,28.000,0
"Uriplan sterile leg bag D5L 500ml bag, 30cm inlet tube (Bard Ltd)",6528111000001105,71.000,70.000,5,5166,0.000968,5,1,28.000000,28.000,0
Cocois ointment (RPH Pharmaceuticals AB),654911000001108,70.000,69.000,5,5166,0.000968,8,1.6,24.500000,28.000,9.899494937
Flumetasone 0.02% / Clioquinol 1% ear drops,42189511000001106,67.000,66.000,5,5166,0.000968,7,1.4,18.142857,28.000,17.382256959
Xylometazoline 0.1% nasal spray,42197511000001100,74.000,73.000,5,5166,0.000968,5,1,11.800000,3.000,14.839137441
Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd),3218311000001103,81.000,80.000,5,5166,0.000968,5,1,28.400000,28.000,0.894427191
Methocarbamol 750mg tablets,42107011000001106,66.000,65.000,5,5166,0.000968,7,1.4,12.857143,0.000,16.15991513
OneTouch Ultra testing strips (LifeScan),211611000001106,56.000,56.000,5,5166,0.000968,12,2.4,2.333333,0.000,8.082903748
Diclofenac sodium 75mg gastro-resistant modified-release capsules,42102111000001105,63.000,62.500,5,5166,0.000968,6,1.2,25.666667,28.000,5.715476096
Empagliflozin 25mg tablets,25290611000001102,70.000,69.000,5,5166,0.000968,6,1.2,42.000000,42.000,15.33623161
Clotrimazole 1% solution,41784411000001103,82.500,81.500,5,5166,0.000968,6,1.2,23.333333,28.000,11.430952148
Doxazosin 4mg modified-release tablets,39020411000001106,78.000,77.500,5,5166,0.000968,8,1.6,10.500000,0.000,14.491376746
Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),3188311000001102,75.000,74.000,5,5166,0.000968,7,1.4,16.285714,28.000,15.250292751
Zerodouble gel (Thornton & Ross Ltd),23463811000001100,85.000,84.000,5,5166,0.000968,7,1.4,28.000000,28.000,0
CareSens lancets 0.31mm/30gauge (Spirit Healthcare Ltd),23641811000001107,72.000,72.000,5,5166,0.000968,5,1,16.800000,28.000,15.33623161
Ispaghula Husk  Sachets (orange)  3.5 g/sachet,,75.500,75.000,5,5166,0.000968,6,1.2,14.166667,14.000,15.523101075
"Plenachol  Capsules  20,000 units",,65.000,64.000,5,5166,0.000968,5,1,47.600000,70.000,32.230420413
NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Novo Nordisk Ltd),492011000001105,69.500,69.500,5,5166,0.000968,8,1.6,10.750000,0.000,14.849242405
Ferrous gluconate 300mg tablets,41985111000001101,76.000,76.000,5,5166,0.000968,5,1,39.200000,28.000,25.043961348
Pioglitazone 45mg tablets,42086411000001109,66.500,65.500,5,5166,0.000968,12,2.4,19.166667,28.000,17.755067558
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,17290211000001104,76.000,75.000,5,5166,0.000968,10,2,28.000000,28.000,0
White soft paraffin 50% / Liquid paraffin 50% ointment,41749711000001104,81.000,80.000,5,5166,0.000968,5,1,28.000000,28.000,0
Glyceryl Trinitrate  Cfc-free pump spray  400 micrograms/dose (200 dose),,71.000,70.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Lotriderm cream (Organon Pharma (UK) Ltd),2899411000001101,73.000,72.000,5,5166,0.000968,5,1,16.800000,28.000,15.33623161
Instillagel  Gel (6 Ml Syringe),,75.000,74.000,5,5166,0.000968,5,1,28.000000,28.000,0
Nicotine 15mg inhalation cartridges with device,19482211000001108,65.000,65.000,5,5166,0.000968,5,1,25.200000,28.000,6.260990337
"Great Bear Gb4  Night drainage bags  2 litre, 10400W",,75.000,75.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Contour testing strips (Ascensia Diabetes Care UK Ltd),7267911000001107,78.500,78.000,5,5166,0.000968,6,1.2,18.666667,28.000,14.459137837
Calcichew D3 chewable tablets (Forum Health Products Ltd),442811000001108,76.000,76.000,5,5166,0.000968,7,1.4,28.000000,28.000,28
Difflam 0.15% spray (Ceuta Healthcare Ltd),531611000001106,74.000,73.000,5,5166,0.000968,5,1,28.000000,28.000,0
Nicorandil 20mg tablets,42214911000001104,58.500,58.500,5,5166,0.000968,10,2,17.000000,28.000,14.643921742
Prednisolone 2.5mg gastro-resistant tablets,42086911000001101,77.000,76.000,5,5166,0.000968,5,1,26.600000,28.000,3.130495168
Trazodone 50mg capsules,42280711000001105,72.500,72.000,5,5166,0.000968,6,1.2,28.000000,28.000,17.708754897
Amlostin 5mg tablets (Discovery Pharmaceuticals),8046211000001107,64.500,64.000,5,5166,0.000968,16,3.2,1.750000,0.000,7
Escitalopram 5mg tablets,42271411000001100,79.000,78.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,39709611000001109,69.000,69.000,5,5166,0.000968,11,2.2,14.181818,15.000,10.274416577
"Calci-D 1000mg/1,000unit chewable tablets (Forum Health Products Ltd)",32400711000001109,74.000,74.000,5,5166,0.000968,7,1.4,22.000000,28.000,10.246950766
Dexamethasone 0.1% eye drops,42187811000001101,67.000,66.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),17608511000001103,67.000,66.000,5,5166,0.000968,7,1.4,24.000000,28.000,19.321835653
GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (GlucoRx Ltd),23056411000001108,79.000,78.000,5,5166,0.000968,7,1.4,16.000000,28.000,14.966629547
Glyceryl Trinitrate  Cfc-free pump spray  400 micrograms/dose (180 dose),,61.000,60.500,5,5166,0.000968,6,1.2,18.833333,28.000,14.204459405
Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),11933011000001106,76.500,76.500,5,5166,0.000968,6,1.2,18.666667,28.000,14.459137837
Galfer 305mg capsules (Thornton & Ross Ltd),3159311000001102,75.000,74.000,5,5166,0.000968,7,1.4,38.000000,28.000,20.944370771
Itraconazole 100mg capsules,41789311000001106,69.000,68.500,5,5166,0.000968,6,1.2,9.833333,7.000,12.172373105
Mepore dressing 11cm x 15cm (Molnlycke Health Care Ltd),154911000001109,78.000,77.000,5,5166,0.000968,5,1,28.000000,28.000,0
Artificial saliva spray,34820711000001100,86.000,86.000,5,5166,0.000968,6,1.2,32.666667,28.000,11.430952148
Sukkarto SR 1000mg tablets (Morningside Healthcare Ltd),24568211000001104,73.000,73.000,5,5166,0.000968,6,1.2,24.500000,28.000,8.5732141
Dosulepin 25mg capsules,42270611000001107,64.000,63.000,5,5166,0.000968,10,2,8.400000,0.000,18.898559628
Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),23622011000001107,80.000,80.000,5,5166,0.000968,5,1,40.000000,30.000,24.61706725
Erythromycin 250mg gastro-resistant capsules,36064711000001106,67.000,66.000,5,5166,0.000968,7,1.4,6.000000,0.000,10.246950766
Methylprednisolone 80mg/2ml / Lidocaine 20mg/2ml (1%) suspension for injection vials,36034511000001106,67.000,66.000,5,5166,0.000968,9,1.8,28.000000,28.000,0
Norethisterone 5mg tablets,42297111000001106,49.500,48.500,5,5166,0.000968,6,1.2,27.333333,28.000,10.171856615
GlucoRx Q testing strips (GlucoRx Ltd),17165811000001109,81.000,80.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Cyanocobalamin 1mg tablets,21366111000001101,76.000,75.500,5,5166,0.000968,6,1.2,33.333333,28.000,13.063945308
Qvar 50 inhaler (Teva UK Ltd),3176811000001102,72.500,72.000,5,5166,0.000968,6,1.2,30.666667,28.000,36.63149829
Ivabradine 5mg tablets,9831411000001101,68.000,67.000,5,5166,0.000968,7,1.4,12.000000,0.000,14.966629547
Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials,39710011000001108,76.000,76.000,5,5166,0.000968,5,1,11.200000,0.000,15.33623161
Pregabalin 100mg capsules,42135011000001107,75.500,75.000,5,5166,0.000968,6,1.2,37.333333,28.000,14.459137837
Hollister drainable night drainage bag 5550 (Hollister Ltd),6771411000001109,74.000,73.500,5,5166,0.000968,6,1.2,23.666667,28.000,11.621818575
Compression hosiery class II below knee stocking circular knit standard stock size,7280311000001107,83.000,82.000,5,5166,0.000968,7,1.4,20.000000,28.000,13.662601033
Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),3382711000001107,82.000,81.500,5,5166,0.000968,8,1.6,28.000000,28.000,0
Goserelin 10.8mg implant pre-filled syringes,42036611000001104,78.000,77.000,5,5166,0.000968,8,1.6,24.875000,28.000,8.838834765
Eurax 10% cream (Thornton & Ross Ltd),239911000001108,67.500,67.000,5,5166,0.000968,6,1.2,23.333333,28.000,11.430952148
Urea hydrogen peroxide 5% ear drops,36148411000001106,78.000,78.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
AproDerm Colloidal Oat cream (Fontus Health Ltd),31342311000001108,77.500,77.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Buprenorphine 10micrograms/hour transdermal patches,9567411000001100,70.000,70.000,5,5166,0.000968,5,1,22.400000,28.000,12.521980674
Tobradex 3mg/ml / 1mg/ml eye drops (Novartis Pharmaceuticals UK Ltd),3748211000001106,81.000,80.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Dapagliflozin 5mg tablets,39689911000001109,69.000,68.000,5,5166,0.000968,7,1.4,32.000000,28.000,10.583005244
Morphine 10mg modified-release capsules,36126411000001107,83.000,82.000,5,5166,0.000968,7,1.4,26.571429,28.000,5.623081717
Leuprorelin 11.25mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,19306111000001105,79.000,78.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Aquacel dressing 10cm x 10cm square (ConvaTec Ltd),10230711000001107,92.000,91.000,5,5166,0.000968,8,1.6,25.750000,28.000,6.363961031
Codeine 15mg/5ml linctus sugar free,38896411000001100,84.500,83.500,5,5166,0.000968,6,1.2,15.166667,14.000,6.882344586
Mirtazapine 15mg orodispersible tablets,42274411000001103,69.000,69.000,5,5166,0.000968,6,1.2,24.500000,28.000,8.5732141
Bisoprolol 7.5mg tablets,42371611000001108,67.000,67.000,5,5166,0.000968,5,1,22.400000,28.000,23.426480743
"Xylocaine 2% with Adrenaline 100micrograms/20ml (1 in 200,000) solution for injection vials (Aspen Pharma Trading Ltd)",3595911000001104,72.000,71.000,5,5166,0.000968,5,1,16.800000,28.000,15.33623161
