TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Co-careldopa 50mg/200mg modified-release tablets,39109211000001100,70.000,14,207367,6.8e-05,24,1.71,11.750000,0.000,16.432338209
Aveeno Skin Relief moisturising lotion with shea butter (Kenvue UK Ltd),11053911000001102,69.000,14,207367,6.8e-05,17,1.21,16.470588,28.000,14.204390378
Praxilene 100mg capsules (Merck Serono Ltd),191511000001109,69.000,14,207367,6.8e-05,16,1.14,17.500000,28.000,14
Activa Leg Ulcer Hosiery Kit (10mmHg) closed toe compression liner pack large Sand (L&R Medical UK Ltd),14251211000001109,69.000,14,207367,6.8e-05,19,1.36,25.052632,28.000,8.828449467
"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes",36564211000001101,69.000,14,207367,6.8e-05,17,1.21,23.352941,28.000,10.397963599
Phenytoin sodium 300mg capsules,42134511000001100,69.000,14,207367,6.8e-05,31,2.21,18.064516,28.000,13.618456814
Ensure TwoCal liquid (Flavour Not Specified),20990411000001106,69.000,14,207367,6.8e-05,22,1.57,28.181818,28.000,0.5884895921
Tricotex dressing 9.5cm x 9.5cm (Smith & Nephew Healthcare Ltd),66311000001104,69.000,14,207367,6.8e-05,18,1.29,21.777778,28.000,14.582647051
Olanzapine 20mg tablets,42275911000001105,69.000,14,207367,6.8e-05,15,1.07,23.200000,28.000,23.42221168
Vortioxetine 5mg tablets,30738811000001109,69.000,14,207367,6.8e-05,21,1.5,18.380952,28.000,12.690453853
Oxcarbazepine 300mg tablets,42132911000001103,69.000,14,207367,6.8e-05,19,1.36,13.263158,0.000,14.363696913
Alimemazine 10mg tablets,42184211000001109,70.000,14,207367,6.8e-05,14,1,15.000000,14.000,12.836246765
Anacal rectal ointment (Thornton & Ross Ltd),3058811000001108,69.000,14,207367,6.8e-05,17,1.21,15.823529,0.000,18.527801057
Sodium chloride 0.9% eye drops 0.5ml unit dose preservative free,35925111000001108,69.000,14,207367,6.8e-05,17,1.21,19.764706,28.000,13.150710095
Tear-Lac Hypromellose 0.3% eye drops preservative free (Scope Ophthalmics Ltd),19800411000001100,69.000,14,207367,6.8e-05,19,1.36,26.526316,28.000,6.423640557
Carbamazepine 400mg modified-release tablets,37082511000001105,69.500,14,207367,6.8e-05,22,1.57,25.136364,28.000,11.961427925
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free,34318011000001105,69.000,14,207367,6.8e-05,14,1,28.000000,28.000,0
Longtec 20mg modified-release tablets (Qdem Pharmaceuticals Ltd),20937911000001108,69.000,14,207367,6.8e-05,23,1.64,22.565217,28.000,10.689102722
Diclofenac 75mg/3ml solution for injection ampoules,36098111000001101,69.000,14,207367,6.8e-05,14,1,16.000000,28.000,14.379472556
Lidocaine 200mg/10ml (2%) solution for injection ampoules,4899111000001104,69.000,14,207367,6.8e-05,14,1,24.000000,28.000,16.861426156
Nicotine 10mg inhalation cartridges with device,3501611000001105,70.000,14,207367,6.8e-05,17,1.21,18.941176,28.000,14.800635932
Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),10344911000001108,69.000,14,207367,6.8e-05,19,1.36,25.842105,28.000,40.431372794
Metoject PEN 20mg/0.4ml solution for injection pre-filled pens (medac UK),24590811000001104,69.000,14,207367,6.8e-05,14,1,26.000000,28.000,7.483314774
Activa class II unisex ribbed sock standard stock size Large Black (L&R Medical UK Ltd),17412111000001109,70.000,14,207367,6.8e-05,17,1.21,23.058824,28.000,13.948434464
Prosys sterile drainable night drainage bag with slide tap P2000 2litre (Clinisupplies Ltd),6779911000001102,69.000,14,207367,6.8e-05,22,1.57,23.181818,28.000,10.522702742
Half Securon SR 120mg tablets (Viatris UK Healthcare Ltd),846611000001102,69.000,14,207367,6.8e-05,32,2.29,14.000000,0.000,15.902931365
Accu-Chek Aviva  Blood Glucose Testing System,,70.000,14,207367,6.8e-05,15,1.07,28.000000,28.000,0
Peel-Easy medical adhesive remover spray 300714 (C D Medical Ltd),19453611000001105,69.000,14,207367,6.8e-05,29,2.07,19.310345,28.000,13.183061215
Naprosyn 500mg tablets (Atnahs Pharma UK Ltd),162011000001106,69.000,14,207367,6.8e-05,15,1.07,15.866667,14.000,12.816655843
Bupropion 150mg modified-release tablets,35914111000001102,69.000,14,207367,6.8e-05,19,1.36,32.263158,28.000,15.55578529
Zipzoc stockings (Evolan Pharma AB),3645411000001105,69.000,13,207367,6.3e-05,20,1.54,20.300000,28.000,13.981566829
Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets,26655211000001103,69.000,13,207367,6.3e-05,18,1.38,25.333333,28.000,16.845317035
Allevyn Life dressing 15.4cm x 15.4cm (Smith & Nephew Healthcare Ltd),21223911000001106,69.000,13,207367,6.3e-05,19,1.46,25.157895,28.000,6.743417828
Clinistix testing strips (Bayer Diagnostics Manufacturing Ltd),256411000001106,69.000,13,207367,6.3e-05,15,1.15,28.733333,28.000,45.676606496
Oxycodone 10mg/1ml solution for injection ampoules,36129811000001103,69.000,13,207367,6.3e-05,14,1.08,28.000000,28.000,0
Acticoat Flex 3 dressing 10cm x 10cm square (Smith & Nephew Healthcare Ltd),16465411000001107,69.000,13,207367,6.3e-05,18,1.38,24.277778,28.000,8.743438225
Ketotifen 250micrograms/ml eye drops,42192011000001106,69.000,13,207367,6.3e-05,20,1.54,10.100000,0.000,13.505944099
Solpadol 30mg/500mg capsules (Phoenix Labs Ltd),247311000001103,70.000,13,207367,6.3e-05,23,1.77,15.347826,13.000,12.683592472
Trifluoperazine 1mg tablets,39706011000001108,69.000,13,207367,6.3e-05,40,3.08,11.200000,1.000,17.308957219
Unguentum M  Cream dispenser,,69.000,13,207367,6.3e-05,13,1,28.076923,28.000,49.095929118
Telfast 180mg tablets (Opella POM UK Ltd),880711000001100,69.000,13,207367,6.3e-05,17,1.31,12.588235,0.000,14.48731697
Renavit tablets (Stanningley Pharma Ltd),22480711000001106,69.000,13,207367,6.3e-05,16,1.23,34.250000,28.000,18.873261509
OxyContin 5mg modified-release tablets (Napp Pharmaceuticals Ltd),4074911000001106,69.000,13,207367,6.3e-05,16,1.23,17.500000,28.000,13.03329072
Doxepin 5% cream,41896411000001108,69.000,13,207367,6.3e-05,15,1.15,17.466667,28.000,13.574485883
Colestipol Hydrochloride  Sugar free granules  5 grams/sachet,,69.000,13,207367,6.3e-05,19,1.46,12.210526,0.000,14.725559582
Prednisolone 20mg/100ml rectal solution,39722311000001102,69.000,13,207367,6.3e-05,18,1.38,15.944444,14.000,11.9581241
Colgate Duraphat 2800ppm fluoride toothpaste (Colgate-Palmolive (UK) Ltd),7379711000001101,69.000,13,207367,6.3e-05,21,1.62,17.333333,28.000,15.903877923
KerraMaxCare dressing 20cm x 22cm rectangular (Crawford Healthcare Ltd),21681711000001100,69.000,13,207367,6.3e-05,18,1.38,28.000000,28.000,0
Fluorouracil 0.5% / Salicylic acid 10% cutaneous solution,19200111000001101,69.000,13,207367,6.3e-05,13,1,25.846154,28.000,7.765802727
Derbac-M 0.5% liquid (G.R. Lane Health Products Ltd),650111000001101,69.000,13,207367,6.3e-05,13,1,17.230769,28.000,14.178351138
Levetiracetam 750mg tablets,42131411000001101,70.000,13,207367,6.3e-05,15,1.15,21.266667,28.000,19.22225892
ActivHeal Hydrocolloid dressing 10cm x 10cm square (Advanced Medical Solutions Ltd),5325611000001107,70.000,13,207367,6.3e-05,13,1,23.692308,28.000,10.514946648
Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd),10031611000001102,69.000,13,207367,6.3e-05,20,1.54,8.400000,0.000,13.164545681
Activa class I below knee stocking circular knit standard stock size closed toe Small Sand (L&R Medical UK Ltd),6010011000001101,69.000,13,207367,6.3e-05,14,1.08,30.000000,28.000,5.08391129
Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd),20552511000001105,69.000,13,207367,6.3e-05,16,1.23,16.625000,28.000,13.734991809
Sumatriptan 10mg/0.1ml nasal spray unit dose,4792911000001109,69.000,13,207367,6.3e-05,16,1.23,24.312500,28.000,8.912304247
Uniphyllin 300mg prolonged-release tablets (Ennogen Healthcare International Ltd),2891811000001100,69.000,13,207367,6.3e-05,22,1.69,16.863636,28.000,16.260660841
Vicryl suture 1.5gauge 45cm length with 16mm curved round bodied needle W9074 Violet (Ethicon Ltd),5990411000001103,69.000,13,207367,6.3e-05,13,1,25.846154,28.000,7.765802727
Adapt stoma powder 7906 (Hollister Ltd),6953811000001102,69.500,13,207367,6.3e-05,18,1.38,28.000000,28.000,12.704792993
Skinoren 20% cream (LEO Pharma),691011000001100,70.000,13,207367,6.3e-05,19,1.46,22.105263,28.000,11.727909447
Sodium hyaluronate 0.2% eye drops preservative free,16132911000001102,69.000,13,207367,6.3e-05,16,1.23,21.000000,28.000,12.521980674
OxyContin 10mg modified-release tablets (Napp Pharmaceuticals Ltd),2891711000001108,69.000,13,207367,6.3e-05,15,1.15,14.866667,14.000,13.463531
AeroChamber Plus with child mask (Trudell Medical UK Ltd),9518911000001108,69.500,13,207367,6.3e-05,14,1.08,10.000000,0.000,13.922864432
Unilet Superlite lancets 0.66mm/23gauge (Owen Mumford Ltd),9462611000001108,69.000,13,207367,6.3e-05,13,1,4.307692,0.000,10.514946648
Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd),3112511000001109,69.000,13,207367,6.3e-05,16,1.23,8.375000,0.000,15.768639764
Morphine 15mg modified-release tablets,36126811000001109,69.000,13,207367,6.3e-05,15,1.15,25.666667,30.000,8.89355036
Profore #2 bandage 10cm x 4.5m (Smith & Nephew Healthcare Ltd),9581811000001107,70.000,13,207367,6.3e-05,17,1.31,19.235294,28.000,15.039653453
"Simpla Plus sterile leg bag 21572 500ml bag, 25cm tube (Coloplast Ltd)",6573111000001102,69.000,13,207367,6.3e-05,18,1.38,20.222222,28.000,12.904880782
Otigo 40mg/g / 10mg/g ear drops (Renascience Pharma Ltd),39150411000001103,69.000,13,207367,6.3e-05,13,1,26.230769,28.000,6.379052281
Aquagel lubricating jelly (Ecolab Healthcare Division),34055911000001109,69.000,13,207367,6.3e-05,17,1.31,28.000000,28.000,8.5732141
Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd),89311000001109,69.000,13,207367,6.3e-05,15,1.15,28.000000,28.000,0
Levitra 10mg tablets (Bayer Plc),4361611000001105,69.000,13,207367,6.3e-05,20,1.54,7.000000,0.000,12.439326429
Acti-Fast 2-way stretch stockinette 7.5cm (L&R Medical UK Ltd),751511000001109,70.000,13,207367,6.3e-05,15,1.15,26.933333,28.000,2.814926287
Glandosane synthetic saliva spray peppermint (Fresenius Kabi Ltd),567611000001106,69.000,13,207367,6.3e-05,19,1.46,9.631579,0.000,14.761852221
Cisapride 10mg tablets,39688111000001104,69.000,13,207367,6.3e-05,16,1.23,6.125000,0.000,11.395174417
Monomax Sr 60  M/R capsules  60 mg,,69.000,13,207367,6.3e-05,20,1.54,4.200000,0.000,10.257731377
Econazole 150mg pessaries,41786011000001102,69.000,13,207367,6.3e-05,15,1.15,14.533333,6.000,16.026169068
Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi),19354411000001104,70.000,13,207367,6.3e-05,23,1.77,10.956522,0.000,13.972304606
Chloramphenicol 5% ear drops,42186911000001108,69.000,13,207367,6.3e-05,14,1.08,12.000000,0.000,14.379472556
Peristeen anal irrigation system 29121 (Coloplast Ltd),11321911000001103,69.000,13,207367,6.3e-05,23,1.77,25.565217,28.000,8.066913846
Venlalic XL 150mg tablets (Ethypharm UK Ltd),15375411000001109,69.000,13,207367,6.3e-05,22,1.69,15.636364,28.000,14.627259142
Biatain Adhesive dressing 7.5cm x 7.5cm square (Coloplast Ltd),22168211000001103,70.000,13,207367,6.3e-05,14,1.08,28.000000,28.000,0
Metronidazole 200mg/5ml oral suspension,41952011000001103,70.000,13,207367,6.3e-05,13,1,17.000000,17.000,11.210114495
Lidocaine 2% and Chlorhexidine gel,7289111000001100,70.000,13,207367,6.3e-05,15,1.15,20.666667,28.000,12.9099445
Cavilon Durable  Barrier cream  3392E,,70.000,13,207367,6.3e-05,20,1.54,17.300000,14.000,22.536753604
Oxis 6 Turbohaler (AstraZeneca UK Ltd),3243511000001107,69.000,13,207367,6.3e-05,15,1.15,17.133333,28.000,18.29467786
NiQuitin Clear 7mg patches (Omega Pharma Ltd),3215211000001104,69.000,13,207367,6.3e-05,13,1,27.000000,14.000,60.613529843
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge,19844911000001107,69.500,13,207367,6.3e-05,14,1.08,28.000000,28.000,0
Cardioplen XL 10mg tablets (Chiesi Ltd),7887511000001107,69.000,13,207367,6.3e-05,20,1.54,14.000000,0.000,16.995355395
Tramadol 150mg modified-release capsules,35920511000001109,70.000,13,207367,6.3e-05,27,2.08,23.333333,28.000,11.367971191
Carteolol 1% eye drops,42186311000001107,69.000,13,207367,6.3e-05,31,2.38,-1207.967742,0.000,6731.806198854
Elocon 0.1% scalp lotion (Organon Pharma (UK) Ltd),188811000001100,69.000,13,207367,6.3e-05,19,1.46,22.842105,28.000,12.531130835
"COVID-19 Vaccine Covishield (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (Serum Institute of India)",40348011000001102,70.000,13,207367,6.3e-05,16,1.23,365.000000,365.000,0
OpSite Post-Op dressing 10cm x 12cm (Smith & Nephew Healthcare Ltd),15900111000001105,69.000,13,207367,6.3e-05,15,1.15,22.400000,28.000,11.593101397
Syntaris 0.025% nasal spray (Teva UK Ltd),656911000001100,69.000,13,207367,6.3e-05,19,1.46,10.578947,0.000,17.50338313
Alupent 10mg/5ml syrup (Boehringer Ingelheim Ltd),599311000001108,69.000,13,207367,6.3e-05,14,1.08,18.000000,10.000,27.352401101
Caverject 20microgram powder and solvent for solution for injection vials (Pfizer Ltd),3451811000001109,69.000,13,207367,6.3e-05,17,1.31,28.000000,28.000,9.899494937
Dabigatran etexilate 110mg capsules,13532811000001109,69.000,13,207367,6.3e-05,14,1.08,16.571429,28.000,14.621976542
Fexofenadine 30mg tablets,42189311000001100,69.000,13,207367,6.3e-05,19,1.46,27.684211,28.000,11.120814494
Ciproxin 500mg tablets (Bayer Plc),417611000001101,69.000,13,207367,6.3e-05,14,1.08,11.857143,7.000,12.781339406
Aminophylline hydrate 225mg modified-release tablets,13663211000001104,69.000,13,207367,6.3e-05,22,1.69,31.909091,14.000,76.87337089
FemSeven 50 patches (Theramex HQ UK Ltd),2948411000001106,69.000,13,207367,6.3e-05,22,1.69,24.181818,28.000,17.908860181
Dansac non-sting adhesive remover spray 082-01 (Dansac Ltd),15486311000001109,69.000,13,207367,6.3e-05,21,1.62,24.000000,28.000,10.039920318
Microdot lancets 0.31mm/30gauge (Cambridge Sensors Ltd),18638211000001103,69.000,13,207367,6.3e-05,14,1.08,25.785714,28.000,7.464568306
Solution G citric acid 3.23% catheter maintenance solution,35928711000001102,69.000,13,207367,6.3e-05,20,1.54,28.000000,28.000,0
Dressit  Sterile Dressing Pack,,69.000,13,207367,6.3e-05,18,1.38,17.111111,28.000,16.323526457
Canesten Hydrocortisone  Cream,,69.000,13,207367,6.3e-05,16,1.23,11.375000,0.000,15.521490489
Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd),3180211000001107,69.000,13,207367,6.3e-05,25,1.92,3.360000,0.000,9.286549413
Radian B Pain Relief spray (Thornton & Ross Ltd),4024711000001105,69.000,13,207367,6.3e-05,14,1.08,24.000000,28.000,10.16782253
Topiramate 100mg tablets,42137411000001109,69.000,13,207367,6.3e-05,16,1.23,22.125000,28.000,20.362956563
Unistik 3 Normal lancets 1.8mm/23gauge (Owen Mumford Ltd),11258911000001103,69.000,13,207367,6.3e-05,16,1.23,21.000000,28.000,12.521980674
Sodium valproate 500mg modified-release tablets,39108411000001109,69.000,13,207367,6.3e-05,20,1.54,24.850000,28.000,20.118791937
Melolin dressing 20cm x 10cm (Smith & Nephew Healthcare Ltd),300011000001101,69.000,13,207367,6.3e-05,13,1,17.230769,28.000,14.178351138
Loteprednol 0.5% eye drops,13467011000001101,69.000,13,207367,6.3e-05,15,1.15,26.266667,28.000,6.713171158
Dimeticone 22% / Benzalkonium chloride 0.1% cream,41739011000001102,69.000,13,207367,6.3e-05,14,1.08,15.000000,14.000,15.975943446
Arcoxia 90mg tablets (Organon Pharma (UK) Ltd),3406811000001105,69.000,13,207367,6.3e-05,19,1.46,13.368421,0.000,14.484514835
Rivastigmine 1.5mg capsules,42041311000001100,69.500,13,207367,6.3e-05,16,1.23,17.500000,28.000,17.335897237
Nimenrix vaccine powder and solvent for solution for injection 0.5ml pre-filled syringes (Pfizer Ltd),20517811000001104,69.000,13,207367,6.3e-05,13,1,28.000000,28.000,0
VSL#3 Probiotic Food Supplement oral powder 4.4g sachets (Nordic Pharma Ltd),11508211000001106,69.000,13,207367,6.3e-05,16,1.23,21.125000,28.000,21.737448493
TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd),27968311000001106,69.500,13,207367,6.3e-05,16,1.23,29.750000,28.000,7
Tadalafil 2.5mg tablets,15098011000001101,69.000,13,207367,6.3e-05,15,1.15,19.000000,28.000,13.228756555
Dihydrocodeine 90mg modified-release tablets,39112511000001108,69.000,13,207367,6.3e-05,21,1.62,17.333333,28.000,13.933173831
Fortisip Bottle strawberry (Nutricia Ltd),200511000001102,69.000,13,207367,6.3e-05,20,1.54,248.900000,28.000,778.050593674
Betamethasone valerate 0.1% lotion,41737411000001102,69.000,13,207367,6.3e-05,14,1.08,18.000000,28.000,13.922864432
"LINC-Flo sterile leg bag with lever tap LM500LD-L 500ml bag, 30cm inlet tube (LINC Medical Systems Ltd)",22418011000001108,70.000,13,207367,6.3e-05,20,1.54,29.400000,28.000,6.260990337
GlucoRx Allpresan diabetic foam cream Basic (GlucoRx Ltd),28895111000001100,69.000,13,207367,6.3e-05,20,1.54,28.000000,28.000,0
Actonel Once a Week 35mg tablets (Accord-UK Ltd),4028511000001107,70.000,13,207367,6.3e-05,15,1.15,15.066667,28.000,14.591909059
Canesten 500mg pessaries (Bayer Plc),826811000001101,70.000,13,207367,6.3e-05,16,1.23,7.250000,0.500,12.380091559
Ensure Plus milkshake style liquid chocolate (Abbott Laboratories Ltd),115111000001104,69.000,13,207367,6.3e-05,14,1.08,13.714286,12.000,13.493181019
Biatain Silicone Lite dressing 7.5cm x 7.5cm (Coloplast Ltd),27965511000001108,69.500,13,207367,6.3e-05,16,1.23,28.625000,28.000,6.878711144
Metronidazole 0.8% gel,41742811000001102,69.000,13,207367,6.3e-05,15,1.15,7.733333,0.000,13.285151034
Aquacel Ag Extra dressing 5cm x 5cm square (ConvaTec Ltd),21813911000001107,69.000,13,207367,6.3e-05,14,1.08,64.000000,28.000,142.953462036
Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,4195211000001100,69.000,13,207367,6.3e-05,15,1.15,46.133333,28.000,70.230098014
Mepilex Border Comfort dressing 10cm x 10cm (Molnlycke Health Care Ltd),35413711000001101,69.000,13,207367,6.3e-05,14,1.08,28.000000,28.000,0
Minims prednisolone sodium phosphate 0.5% eye drops 0.5ml unit dose (Bausch & Lomb UK Ltd),3150211000001103,69.500,13,207367,6.3e-05,20,1.54,14.000000,14.000,14.363696913
Diprobath bath emollient (Organon Pharma (UK) Ltd),3045411000001103,69.000,13,207367,6.3e-05,19,1.46,11.052632,0.000,15.178470443
Pulmicort 400 Turbohaler (AstraZeneca UK Ltd),3228711000001106,70.000,13,207367,6.3e-05,19,1.46,10.315789,0.000,13.876649596
Fencino 12micrograms/hour transdermal patches (Luye Pharma Ltd),19486711000001102,69.000,13,207367,6.3e-05,14,1.08,28.000000,28.000,0
Cialis 5mg tablets (Eli Lilly and Company Ltd),15001711000001106,69.000,13,207367,6.3e-05,18,1.38,15.611111,0.500,19.689169586
Navispare 2.5mg/250microgram tablets (Advanz Pharma),535711000001100,70.000,13,207367,6.3e-05,43,3.31,19.534884,28.000,13.011622727
Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free,36595511000001104,69.000,13,207367,6.3e-05,13,1,35.076923,28.000,17.119489566
Glucotrend Plus  Reagent strips,,70.000,13,207367,6.3e-05,13,1,6.461538,0.000,12.27881228
Temgesic 200microgram sublingual tablets (Eumedica Pharma Ltd),867611000001105,69.000,13,207367,6.3e-05,26,2,8.615385,0.000,13.179004287
Haloperidol 500microgram capsules,42273011000001105,70.000,13,207367,6.3e-05,19,1.46,22.736842,28.000,10.938424155
Juvela gluten free digestive biscuits (Juvela Ltd),40945111000001103,69.000,13,207367,6.3e-05,31,2.38,9.096774,0.000,13.404861916
Proscar 5mg tablets (Organon Pharma (UK) Ltd),579211000001108,69.000,13,207367,6.3e-05,17,1.31,27.176471,28.000,30.700641883
Pramipexole 260microgram modified-release tablets,16174711000001106,69.500,13,207367,6.3e-05,14,1.08,25.000000,28.000,8.105079148
Altiform class I below knee stocking circular knit made to measure closed toe Black (Altimed Ltd),15180411000001103,69.000,13,207367,6.3e-05,16,1.23,29.750000,28.000,7
Traxam 3.17% foam (Advanz Pharma),289511000001106,69.000,13,207367,6.3e-05,29,2.23,23.827586,28.000,9.743382267
Sinemet CR 50mg/200mg tablets (Organon Pharma (UK) Ltd),826111000001108,70.000,13,207367,6.3e-05,14,1.08,28.142857,28.000,10.995503581
Kapake 30mg/500mg capsules (Galen Ltd),737111000001106,70.000,13,207367,6.3e-05,27,2.08,31.814815,28.000,31.33692469
Vapour-permeable adhesive film dressing 6cm x 7cm,3139111000001103,69.500,13,207367,6.3e-05,14,1.08,47.571429,28.000,93.177014569
Monolet lancets 0.8mm/21gauge (Covidien (UK) Commercial Ltd),9461011000001109,69.000,13,207367,6.3e-05,15,1.15,9.333333,0.000,13.662601033
Pethidine 50mg tablets,39702511000001101,69.000,13,207367,6.3e-05,17,1.31,9.235294,0.000,13.926276459
Juvela gluten free tea biscuits (Juvela Ltd),40945611000001106,69.000,13,207367,6.3e-05,19,1.46,5.894737,0.000,11.727909447
Lariam 250mg tablets (Neon Healthcare Ltd),715911000001107,69.000,13,207367,6.3e-05,14,1.08,18.500000,14.000,21.89748844
Mengivac A + C vaccine powder and solvent for solution for injection vials (sanofi pasteur MSD Ltd),4830711000001100,69.000,13,207367,6.3e-05,13,1,0.076923,0.000,0.2773499594
Sodium chloride 0.9% solution for injection 10ml ampoules,3500411000001103,69.000,13,207367,6.3e-05,15,1.15,34.600000,28.000,42.20663455
Psoriderm scalp lotion (Dermal Laboratories Ltd),3820411000001106,69.000,13,207367,6.3e-05,13,1,25.846154,28.000,7.765802727
GluNEO testing strips (Neon Diagnostics Ltd),28282611000001105,69.000,13,207367,6.3e-05,17,1.31,28.000000,28.000,0
Isosorbide mononitrate 30mg tablets,39832211000001109,69.000,13,207367,6.3e-05,14,1.08,34.000000,28.000,16.210158266
Isoniazid 100mg tablets,41950911000001103,69.000,13,207367,6.3e-05,13,1,26.384615,28.000,12.829253447
Zetuvit E  Dressing (Sterile)  10 cm x 10 cm,,69.000,13,207367,6.3e-05,14,1.08,24.000000,28.000,10.16782253
Stemetil 12.5mg/1ml solution for injection ampoules (Atnahs Pharma UK Ltd),766011000001103,69.000,13,207367,6.3e-05,13,1,23.692308,28.000,10.514946648
Paramax sachets (Sanofi),3254311000001101,70.000,13,207367,6.3e-05,13,1,11.538462,0.000,13.811923508
Tramadol 150mg modified-release tablets,35920611000001108,69.000,13,207367,6.3e-05,25,1.92,26.480000,28.000,21.207545827
Ispaghula Husk  Sachets (lemon)  3.5 grams/sachet,,70.000,13,207367,6.3e-05,15,1.15,15.333333,28.000,14.864467061
Migraleve Yellow tablets (McNeil Products Ltd),3359711000001105,69.000,13,207367,6.3e-05,16,1.23,14.500000,7.000,14.724129855
Glutafin gluten free crackers (Dr Schar UK Ltd),40889711000001101,69.000,13,207367,6.3e-05,19,1.46,8.842105,0.000,13.371874139
Occlusal 26% solution (Alliance Pharmaceuticals Ltd),86511000001108,69.000,13,207367,6.3e-05,14,1.08,14.000000,14.000,14.528486604
Seal-Tight limb protector wide short leg CV27106 (Autono-Med Ltd),9150311000001108,70.000,13,207367,6.3e-05,13,1,22.615385,28.000,13.450764922
Lithium carbonate 200mg modified-release tablets,39110011000001104,70.000,13,207367,6.3e-05,21,1.62,16.238095,28.000,17.354840132
TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Owen Mumford Ltd),27968511000001100,69.000,13,207367,6.3e-05,13,1,31.846154,28.000,9.467894486
Ibuprofen 100mg/5ml oral suspension sugar free,39108111000001104,70.000,13,207367,6.3e-05,24,1.85,25.041667,28.000,8.105173718
Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),34812111000001106,70.000,13,207367,6.3e-05,14,1.08,31.285714,29.000,14.413821214
Nicorette Inhalator  Inhalation cartridge with mouthpiece (refill)  10 mg/cartridge,,70.000,12,207367,5.8e-05,12,1,4.666667,0.000,10.898985228
Carmellose 1% eye drops preservative free,24541511000001101,69.000,12,207367,5.8e-05,19,1.58,28.000000,28.000,0
Adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices,32888111000001102,69.000,12,207367,5.8e-05,12,1,25.666667,28.000,8.082903748
"Portia ring pessary 1.25cm thick, 68mm diameter, PVC (Bray Group Ltd)",3016711000001107,69.000,12,207367,5.8e-05,17,1.42,14.823529,28.000,14.40588116
"Penfine  Needles for insulin pens  31g, 6 mm",,69.000,12,207367,5.8e-05,12,1,2.333333,0.000,8.082903748
Glutafin gluten free high fibre crackers (Dr Schar UK Ltd),40933111000001100,69.000,12,207367,5.8e-05,15,1.25,13.066667,0.000,14.459137837
Kerraped all purpose boot large (Crawford Healthcare Ltd),11701211000001103,69.000,12,207367,5.8e-05,15,1.25,20.533333,28.000,12.816655843
Fluticasone propionate 250micrograms/dose dry powder inhaler,36565411000001101,69.000,12,207367,5.8e-05,21,1.75,20.476190,28.000,16.332847425
Spirit Bed bag drainable night drainage bag DSBB2000 2litre (Bard Ltd),34049411000001100,70.000,12,207367,5.8e-05,13,1.08,28.000000,28.000,0
Minims dexamethasone 0.1% eye drops 0.5ml unit dose (Bausch & Lomb UK Ltd),3640211000001102,70.000,12,207367,5.8e-05,15,1.25,22.400000,28.000,11.593101397
Biatain Silicone Lite dressing 12.5cm x 12.5cm (Coloplast Ltd),27966111000001105,70.000,12,207367,5.8e-05,14,1.17,24.000000,28.000,10.16782253
Rivastigmine 3mg capsules,42041511000001106,69.000,12,207367,5.8e-05,14,1.17,26.000000,28.000,11.786563409
Tyrozets lozenges (McNeil Products Ltd),3738811000001106,69.500,12,207367,5.8e-05,12,1,12.166667,3.000,14.076630101
Estradiol 500microgram transdermal gel sachets,3664211000001102,69.000,12,207367,5.8e-05,15,1.25,20.533333,28.000,12.816655843
DuoDERM Extra Thin dressing 5cm x 10cm rectangular (ConvaTec Ltd),402311000001106,69.000,12,207367,5.8e-05,12,1,16.333333,28.000,14.418002219
Durogesic DTrans 12micrograms/hour transdermal patches (Janssen-Cilag Ltd),9751111000001108,69.000,12,207367,5.8e-05,14,1.17,20.357143,28.000,12.597967733
Release dressing 10cm x 10cm (Systagenix Wound Management Ltd),243211000001102,69.000,12,207367,5.8e-05,13,1.08,6.461538,0.000,12.27881228
