CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
855041000006107,observation,LIFE_PHYSACT,Grade B moderately active,0.0540470376537183,803.0,LOW,LOW
546511000001102,medication,HRT,Premarin 1.25mg tablets (Pfizer Ltd),0.0539287660345965,805.0,LOW,MEDIUM
373899003,observation,COMORBID_ASTHMA,Asthma daytime symptoms,0.0524944647183776,821.0,LOW,MEDIUM
1028551000000102,observation,LAB_LIPIDS,Total cholesterol:HDL (high density lipoprotein) ratio,0.0524564566298044,822.0,LOW,STRONG
3043111000001107,medication,HRT,Kliofem tablets (Novo Nordisk Ltd),0.0524256725438209,823.0,LOW,MEDIUM
49601007,observation,COMORBID_CVD,Disorder of cardiovascular system,0.051740890910197,832.0,LOW,ZERO
302331000000106,observation,COMORBID_ASTHMA_CONTROL,Royal College of Physicians asthma assessment,0.0502278404345235,853.0,LOW,LOW
370202007,observation,COMORBID_ASTHMA,Asthma causes daytime symptoms 1 to 2 times per month,0.0501532619329274,857.0,LOW,MEDIUM
41882911000001100,medication,HRT,Tibolone 2.5mg tablets,0.0491283422786913,868.0,LOW,MEDIUM
9488911000001102,medication,DM_MONITORING,Aviva testing strips (Roche Diabetes Care Ltd),0.049104112955667,869.0,LOW,LOW
170631002,observation,COMORBID_ASTHMA,Asthma disturbing sleep,0.0483055077364745,878.0,LOW,MEDIUM
7425611000001100,medication,RESPIRATORY_INHALERS,Budesonide 64micrograms/dose nasal spray,0.0482416912116916,880.0,LOW,LOW
10075611000001101,medication,RESPIRATORY_INHALERS,Salmeterol 25micrograms/dose inhaler CFC free,0.0480710381673952,886.0,LOW,LOW
1030111000000108,observation,LAB_TPO_AB,Thyroid peroxidase antibody level,0.048050736550504,887.0,LOW,LOW
237453001,observation,SYMPTOM_BREAST_PAIN,Cyclical mastalgia,0.047441287226331,898.0,LOW,MEDIUM
170612008,observation,COMORBID_ASTHMA,Increasing exercise wheeze,0.0472408288467226,901.0,LOW,MEDIUM
41874811000001105,medication,HRT,Estradiol 1mg / Norethisterone acetate 500microgram tablets,0.046622585255641,906.0,LOW,MEDIUM
170627008,observation,COMORBID_ASTHMA,Airways obstruction reversible,0.0464831527906313,914.0,LOW,MEDIUM
39111111000001109,medication,RESPIRATORY_INHALERS,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,0.0460765867888802,919.0,LOW,LOW
2841811000001109,medication,HRT,Elleste Solo 1mg tablets (Exeltis UK Ltd),0.0455625890720804,932.0,LOW,MEDIUM
395149007,observation,COMORBID_DM_FOOT,O/E - vibration sense left foot reduced,0.0445820897150441,953.0,LOW,LOW
3049511000001101,medication,HRT,Elleste Duet Conti tablets (Exeltis UK Ltd),0.044079114076295,961.0,LOW,MEDIUM
1027171000000101,observation,LAB_PROLACTIN,Prolactin level,0.0437074673929222,966.0,LOW,LOW
170637003,observation,COMORBID_ASTHMA,Asthma limiting activities,0.0433812439980981,973.0,LOW,MEDIUM
162164007,observation,SYMPTOM_NIPPLE,Nipple discharge symptom,0.0432040920867861,975.0,LOW,LOW
3176811000001102,medication,RESPIRATORY_INHALERS,Qvar 50 inhaler (Teva UK Ltd),0.0421269101877552,1007.0,LOW,LOW
247350000,observation,SYMPTOM_NIPPLE,Sore nipple,0.0420588879546669,1008.0,LOW,LOW
429006005,observation,FAMHX_OTHER_CANCERS,Family history of malignant neoplasm of GI tract,0.0419583486924163,1010.0,LOW,LOW
390931008,observation,COMORBID_DM_FOOT,10g monofilament sensation present,0.0417729649203499,1014.0,LOW,LOW
370208006,observation,COMORBID_ASTHMA,Asthma never causes daytime symptoms,0.0417140031565881,1016.0,LOW,MEDIUM
170657004,observation,COMORBID_ASTHMA,Asthma severely restricts exercise,0.0414568730877367,1019.0,LOW,MEDIUM
4499111000001107,medication,HRT,Novofem tablets (Novo Nordisk Ltd),0.0413220284328452,1025.0,LOW,MEDIUM
3177711000001108,medication,RESPIRATORY_INHALERS,Qvar 100 Autohaler (Teva UK Ltd),0.040798673207198,1037.0,LOW,LOW
370204008,observation,COMORBID_ASTHMA,Asthma causes daytime symptoms most days,0.0403333991978773,1049.0,LOW,MEDIUM
395150007,observation,COMORBID_DM_FOOT,O/E - vibration sense right foot reduced,0.0402333691297085,1051.0,LOW,LOW
9414007,observation,COMORBID_DM,[D]Prediabetes,0.0402171810199785,1053.0,LOW,LOW
313193002,observation,LAB_SPIRO_FLOW,Peak flow rate (respiratory),0.0400234592505385,1057.0,LOW,MEDIUM
48499001,observation,LIFE_BMI,Increased body mass index,0.0399362583949407,1058.0,LOW,STRONG
54302000,observation,SYMPTOM_NIPPLE,Nipple discharge,0.0394428649030405,1066.0,LOW,LOW
263911000001100,medication,OC,Utovlan 5mg tablets (Pfizer Ltd),0.0393891468722656,1067.0,LOW,MEDIUM
9516111000001106,medication,DM_MONITORING,Volumatic (GlaxoSmithKline UK Ltd),0.0393177494476308,1072.0,LOW,LOW
42295511000001106,medication,OC,Levonorgestrel 1.5mg tablets,0.0390089993181096,1082.0,LOW,MEDIUM
370203002,observation,COMORBID_ASTHMA,Asthma causes daytime symptoms 1 to 2 times per week,0.038335095924934,1093.0,LOW,MEDIUM
285441000000106,observation,LIFE_ALC_SCREEN,Alcohol screen - alcohol use disorder identification test consumption questions completed,0.0379516854420174,1100.0,LOW,LOW
266918002,observation,LIFE_SMOKING,Tobacco smoking consumption,0.0379375070566231,1101.0,LOW,MEDIUM
1709401000006107,observation,LAB_SPIRO_FLOW,Percent predicted FEF 25-75,0.0369429749202535,1124.0,LOW,MEDIUM
170655007,observation,COMORBID_ASTHMA,Asthma restricts exercise,0.0369370247429709,1126.0,LOW,MEDIUM
2958011000001100,medication,DM_MONITORING,FreeStyle Optium testing strips (Abbott Laboratories Ltd),0.0369162352009751,1127.0,LOW,LOW
115941000119108,observation,SYMPTOM_NIPPLE,Breast symptom of change in nipple,0.036813502752741,1130.0,LOW,LOW
2845411000001105,medication,HRT,Progynova 2mg tablets (Bayer Plc),0.036641596386013,1135.0,LOW,MEDIUM
1031421000000101,observation,LAB_LIPIDS,High density lipoprotein/total cholesterol ratio,0.0362274897828246,1150.0,LOW,STRONG
170951000,observation,REPRO_MENOPAUSE,Menopause symptoms present,0.0358226900246931,1167.0,LOW,MEDIUM
7340311000001105,medication,HRT,Premique Low Dose 0.3mg/1.5mg modified-release tablets (Pfizer Ltd),0.0355983174600469,1176.0,LOW,MEDIUM
783041000000106,observation,LIFE_BMI,Weight management service opportunity signposted,0.0353043255380721,1190.0,LOW,STRONG
39111911000001107,medication,RESPIRATORY_INHALERS,Beclometasone 50micrograms/dose nasal spray,0.0346894778616985,1201.0,LOW,LOW
160625004,observation,LIFE_SMOKING,Date ceased smoking,0.033760731016487,1231.0,LOW,MEDIUM
897148007,observation,LIFE_ALCOHOL,Alcoholic beverage intake,0.0334282580103427,1237.0,LOW,STRONG
39718011000001105,medication,OC,Levonorgestrel 20micrograms/24hours intrauterine device,0.0333447804616224,1238.0,LOW,MEDIUM
1020831000000109,observation,LAB_LIPIDS,Lipid level,0.0332942267316859,1239.0,LOW,STRONG
170632009,observation,COMORBID_ASTHMA,Asthma causing night waking,0.0323531773529481,1259.0,LOW,MEDIUM
1015691000000106,observation,LAB_LIPIDS,Plasma cholesterol/HDL (high density lipoprotein) ratio,0.0322058278374041,1265.0,LOW,STRONG
313102001,observation,FAMHX_BREAST_OVARIAN,Family history of neoplasm of breast,0.0321029750713691,1267.0,LOW,LOW
182727003,observation,COMORBID_ASTHMA_CONTROL,Asthma control step 1,0.0320041896217556,1269.0,LOW,LOW
1015271000000109,observation,LAB_LIPIDS,Serum high density lipoprotein:non-high density lipoprotein cholesterol ratio,0.0318375939914685,1273.0,LOW,STRONG
